,restaurant_name,rating,total_reviews,category,location,province,address,Latitude,Longitude,Province,min_price
119,JOEY Burrard,4.1,554,Canadian (New),vancouver,BC,"820 Burrard St Vancouver, BC V6Z 1X9 Canada",49.282606,-123.1231879,BC,25
120,Marché Mon Pitou,4.3,36,Cafes,vancouver,BC,"1387 W 7th Avenue Vancouver, BC V6H 1B8 Canada",49.2654363,-123.135785,BC,25
121,Ash Street Bistro,4.5,11,Bistros,vancouver,BC,"Legacy Senior Living 611 W 41st Avenue Vancouver, BC V5Z Canada",49.23379060000001,-123.1182802,BC,25
122,Hawksworth Restaurant,4.1,642,Canadian (New),vancouver,BC,"801 W Georgia Street Vancouver, BC V6C 1P7 Canada",49.2834361,-123.1192058,BC,45
123,Five Sails Restaurant,4.4,179,French,vancouver,BC,"401-999 Canada Place Vancouver, BC V6C 3E1 Canada",49.2877204,-123.113231,BC,50
124,Gyu-Kaku Japanese BBQ,4.0,390,Japanese,vancouver,BC,"G3-888 Nelson Street Vancouver, BC V6Z 2H1 Canada",49.2800583,-123.1252306,BC,25
125,Black Frog Eatery,3.8,214,Pubs,vancouver,BC,"108 Cambie Street Vancouver, BC V6B 2M8 Canada",49.2845497,-123.1085711,BC,25
126,Browns Crafthouse Seymour,4.0,44,Beer Bar,vancouver,BC,"580 West Pender Downtown Vancouver, BC V6B 1W7 Canada",49.2837737,-123.113725,BC,25
127,Fat Mao Noodles,3.9,228,Asian Fusion,vancouver,BC,"938 Helmcken Street Vancouver, BC V6Z 2S5 Canada",49.2799016,-123.1272458,BC,25
128,Fat Mao Noodles,3.9,228,Asian Fusion,vancouver,BC,"217 E Georgia Street Vancouver, BC V6A 1Z6 Canada",49.2787559,-123.0989242,BC,25
129,Kin Kao Thai Kitchen,4.0,161,Thai,vancouver,BC,"903 Commercial Drive Vancouver, BC V5L Canada",49.2763842,-123.0698044,BC,25
130,Caveman Cafe,4.4,271,Organic Stores,vancouver,BC,"88 W Pender Street Unit 1005 Vancouver, BC V6B 6N8 Canada",49.2804064,-123.1069714,BC,25
131,Los Amigos Taqueria,4.0,121,Mexican,vancouver,BC,"1118 Davie Street Vancouver, BC V6E 1N1 Canada",49.2805803,-123.1319161,BC,25
