restaurant_name,address
Man Bean,"1284 Barrington Street Halifax, NS B3J 1Y5 Canada"
Birch & Anchor,"367 Bedford Highway Halifax, NS B3M 2L2 Canada"
The Filling Station,"60 Baker Drive Unit B Dartmouth, NS B2W 6L4 Canada"
Bomber Chicken,"6184 Quinpool Road Halifax, NS B3L 1A3 Canada"
Your Father's Moustache,"5686 Spring Garden Road Halifax, NS B3J 1H5 Canada"
Antojo Tacos + Tequila,"1667 Argyle Street Halifax, NS B3J Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Ko-Doraku,"5640 Spring Garden Road Halifax, NS B3J 3M7 Canada"
Tom's Family Restaurant,"585 Sackville Drive Lower Sackville, NS B4C 2S4 Canada"
Lemon Dogs Burgers & Lemonade,"54 Locks Road Dartmouth, NS B2X 2W7 Canada"
Stories Fine Dining,"5184 Morris St Halifax, NS B3J 1B3 Canada"
Kam-Moon,"2013 Brunswick Street Halifax, NS B3J 2G8 Canada"
Pilot's Pub,"10 Atlantic Street Dartmouth, NS B2Y 4M8 Canada"
Harbourstone Pour House,"1919 Upper Water Street Halifax, NS B3J 3J5 Canada"
The Mercantile Social,"1579 Hollis Street Halifax, NS B3J 1V3 Canada"
Chkn Chop,"6041 North Street Halifax, NS B3K 1P1 Canada"
Arirang Korean & Japanese Restaurant,"30 Farnham Gate Road Halifax, NS B3M 3W8 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Sushi Cove,"355 Herring Cove Road Halifax, NS B3R 1V9 Canada"
The Carleton,"1685 Argyle Street Halifax, NS B3J 2B5 Canada"
Tsujiri,"1605 South Park Street Halifax, NS B3J 0J1 Canada"
Lucy's Cafe & Eatery,"245 Waverley Road Halifax, NS B2X 2C5 Canada"
Brawta,"1567 Grafton Street Halifax, NS B3J 2C3 Canada"
Hungry Hut,"135 Ochterloney Street Dartmouth, NS B2Y 1C9 Canada"
Hugo's Bar & Grill,"451 Windmill Road Dartmouth, NS B3A 1J9 Canada"
Shawarman Pizza & Subs,"342 Windmill Road Dartmouth, NS B3A 1J1 Canada"
Murphy's The Cable Wharf,"1751 Lower Water Street Halifax, NS B3J 1S5 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
El Chino Snack Bar,"2398 Robie St Halifax, NS B3K Canada"
Finbar's Irish Pub,"1595 Bedford Highway Bedford, NS B4A 3Y4 Canada"
Besharam Bar and Grill,"5680 Spring Garden Road Floor 1st Halifax, NS B3J 1H5 Canada"
Truly Tasty,"6214 Quinpool Road Halifax, NS B3L 1A3 Canada"
Villa Madina,No data or change code
Sushi Nami Royale,"1458 Queen Street Suite 102 Halifax, NS B3J 2H7 Canada"
Piatto Pizzeria + Enoteca,"5144 Morris Street Halifax, NS B3J 1T6 Canada"
The Lower Deck,"1887 Upper Water St Halifax, NS B0J 1W5 Canada"
Windsor Street Diner,"2164 Windsor Street Halifax, NS B3K 5B6 Canada"
Yum Yum,"32 Albro Lake Road Dartmouth, NS B3A 3X8 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Coastal Cook House,"16 Government wharf Road Eastern Passage, NS B3G 1M5 Canada"
Hong's Kitchen,"584 Sackville Drive Lower Sackville, NS B4C 2S3 Canada"
Café Lunette,"160-1741 Lower Water Street Halifax, NS B3J 0J2 Canada"
El Centro Pizza,"2652 Lawrencetown Rd Halifax, NS B2Z 1L2 Canada"
IHOP,"80 Hogan Court Bedford, NS B4B 2H1 Canada"
Smokey's Restaurant,"81 Wright Ave Halifax, NS B3B 1H4 Canada"
