restaurant_name,price_range,rating,total_reviews,category,location,province,address
Perro Negro,$$$,4.7,18,Tapas/Small Plates,victoria,BC,"536 Yates Street Victoria, BC V8W 1K8 Canada"
Cenote Restaurant and Lounge,$$,3.9,23,Lounges,victoria,BC,"768 Yates Street Victoria, BC V8W 3Z1 Canada"
Ayo Eat,$,4.6,47,Indonesian,victoria,BC,"Market Square 140-156 Johnson Street Victoria, BC V8W 3C6 Canada"
Tibetan Kitchen,$$,4.2,52,Himalayan/Nepalese,victoria,BC,"680 Broughton Street Victoria, BC V8W 1C9 Canada"
Lido Waterfront Bar & Bistro,$$,3.8,36,Seafood,victoria,BC,"1234 S Wharf Street Victoria, BC V8W 3H9 Canada"
Sult Pierogi Bar,$$,4.2,99,Polish,victoria,BC,"609 Yates St Victoria, BC V8W 1L1 Canada"
The Tapa Bar,$$,3.9,211,Tapas Bars,victoria,BC,"620 Trounce Alley Victoria, BC V8W 1K3 Canada"
Fuego Old Town Eatery,$$,4.4,76,Breakfast & Brunch,victoria,BC,"Market Square 1435 Store Street Victoria, BC V8W 3C6 Canada"
Irish Times Pub,$$,4,436,Irish Pub,victoria,BC,"1200 Government Street Victoria, BC V8W 1Y3 Canada"
Moxies,$$,3.9,40,Canadian (New),victoria,BC,"1010 Yates Street Suite 1 Victoria, BC V8V 3M6 Canada"
Heron Rock Bistro,$$,4.3,104,Breakfast & Brunch,victoria,BC,"435 Simcoe Street Victoria, BC V8V 4T4 Canada"
Jones Bar B Que,$$,3.9,61,Barbeque,victoria,BC,"1725 Cook Street Victoria, BC V8T 3P4 Canada"
Be Love,$$,4.1,143,Vegan,victoria,BC,"1019 Blanshard Street Victoria, BC V8W 2H4 Canada"
Clarke&Co,$$$,4,41,Cocktail Bars,victoria,BC,"1002 Blanshard Street Victoria, BC V8W 1E1 Canada"
J & J Wonton Noodle House,$$,3.7,72,Chinese,victoria,BC,"1012 Fort Street Victoria, BC V8V 3K4 Canada"
Browns Socialhouse - Victoria Falls,$$,3.3,87,Pubs,victoria,BC,"809 Douglas Street Victoria, BC V8W 2B9 Canada"
Fire & Water Fish and Chop House,$$,3.7,34,Canadian (New),victoria,BC,"728 Humboldt Street Victoria, BC V8W 3Z5 Canada"
The Drake Eatery,$$,4.1,74,Tapas/Small Plates,victoria,BC,"517 Pandora Street Victoria, BC V8W 3C6 Canada"
Saveur Restaurant,$$$,4.6,47,French,victoria,BC,"658 Herald Street Victoria, BC V8W 1S7 Canada"
Gozen,$$,4.2,66,Japanese,victoria,BC,"1005 Langley Street Victoria, BC V8W 1V7 Canada"
Ghost Ramen,$$,3.8,16,Ramen,victoria,BC,"1609 Store St Victoria, BC V8W 3K3 Canada"
Yates Street Taphouse,$$,3.4,47,Pubs,victoria,BC,"759 Yates Street Victoria, BC V8W 1L6 Canada"
Pizzeria Prima Strada,$$,4.2,179,Pizza,victoria,BC,"230 Cook Street Victoria, BC V8V 3X3 Canada"
Messob Ethiopian Cuisine,$,4.8,12,Ethiopian,victoria,BC,"1109 McKenzie Avenue Victoria, BC V8V 2W1 Canada"
Stage,$$$,4.2,59,Wine Bars,victoria,BC,"1307 Gladstone Avenue Victoria, BC V8R 1R9 Canada"
My Thai Cafe,$$,4.1,34,Thai,victoria,BC,"1020 Cook Street Victoria, BC V8V 3Z5 Canada"
"Sakura Sushi, Grocery and Japanese Restaurant",$,3.5,15,Japanese,victoria,BC,"1213 Quadra Street Victoria, BC V8W 2K6 Canada"
Golden City Restaurant,$$,3.7,99,Chinese,victoria,BC,"721 Fisgard Street Victoria, BC V8W 1R8 Canada"
Sura Korean Cuisine,$$$,3,48,Korean,victoria,BC,"1518 Robson Street Vancouver, BC V6G 1C3 Canada"
Sura Korean Cuisine,$$$,3,48,Korean,victoria,BC,"1696 Douglas Street Victoria, BC V8W 2G6 Canada"
